year,month,LIBOR,SOFR,FFR,debt,IP,SP500
2014,August,9.138,4.833333333333333,8.4,12672323809523.809,102.6491,2003.37
2014,December,11.01,11,12.258064516129032,12969363636363.637,103.6139,2058.9
2014,November,9.641111111111112,8,9.2,12877100000000,103.6669,2067.56
2014,October,9.059999999999999,7.090909090909091,8.903225806451612,12795845454545.455,102.9911,2018.05
2014,September,9.03095238095238,4.285714285714286,8.833333333333334,12757623809523.809,102.9858,1972.29
2015,April,12.2,12.19047619047619,12.466666666666667,13081404545454.545,101.2859,2085.51
2015,August,13.01,17.761904761904763,13.806451612903226,13126161904761.904,100.9115,1972.18
2015,December,22.862380952380953,24.5,24.06451612903226,13600000000000,98.8329,2043.94
2015,February,11.786842105263158,7.7894736842105265,11.071428571428571,13033610526315.79,102.2292,2104.5
2015,January,11.8645,7.55,11.483870967741936,12979885000000,102.8479,1994.99
2015,July,12.63,13.363636363636363,13.03225806451613,13101365217391.305,101.1831,2103.84
2015,June,12.293636363636363,10.409090909090908,12.9,13073754545454.545,100.5063,2063.11
2015,March,12.135,10.272727272727273,11.290322580645162,13088345454545.455,101.8945,2067.89
2015,May,12.31578947368421,8.45,12.32258064516129,13055315000000,100.8408,2107.39
2015,November,13.065789473684212,9.157894736842104,11.766666666666667,13425226315789.475,99.4099,2080.41
2015,October,13.15857142857143,10.571428571428571,12.35483870967742,13045633333333.334,100.1588,2079.36
2015,September,13.43904761904762,13.047619047619047,13.600000000000001,13145923809523.809,100.568,1920.03
2016,April,38.03142857142857,33.80952380952381,36.53333333333333,13878147619047.62,98.4673,2065.3
2016,August,41.81704545454545,38.391304347826086,39.67741935483871,14027426086956.521,98.7249,2170.95
2016,December,56.06285,38.857142857142854,54,14413533333333.334,98.8958,2238.83
2016,February,37.1495,38.55,37.51724137931034,13699395000000,98.9583,1932.23
2016,January,36.607894736842105,38.526315789473685,34.29032258064516,13631100000000,99.4797,1940.24
2016,July,41.419,37.95,39.16129032258065,13960335000000,98.8992,2173.6
2016,June,39.04409090909091,42.81818181818182,37.766666666666666,13891513636363.637,98.7201,2098.86
2016,March,37.39333333333333,35.13636363636363,36.225806451612904,13845369565217.39,98.1954,2059.74
2016,May,38.526,32.142857142857146,36.516129032258064,13838014285714.285,98.2889,2096.96
2016,November,43.39895,31.45,40.666666666666664,14372045000000,98.2288,2198.81
2016,October,43.09825,38.85,39.645161290322584,14239645000000,98.6703,2126.15
2016,September,42.164857142857144,44.714285714285715,39.63333333333333,14127047619047.62,98.606,2168.27
2017,April,92.89655555555557,81.05263157894737,89.6,14334160000000,100.0363,2384.2
2017,August,117.75518181818182,104.6086956521739,115.70967741935482,14393643478260.87,99.7055,2471.65
2017,December,131.44094736842106,122.25,130.16129032258064,14876275000000,101.3696,2673.61
2017,February,68.63742105263158,52.421052631578945,65.67857142857143,14391421052631.578,98.3676,2363.64
2017,January,69.0799,53.55,64.96774193548387,14412270000000,98.7446,2278.87
2017,July,117.6944,103.2,115.06451612903224,14359995000000,100.2092,2470.3
2017,June,106.4090909090909,98.86363636363636,104,14317100000000,100.3042,2423.41
2017,March,80.95565217391305,64.26086956521739,78.61290322580645,14362130434782.61,99.1065,2362.72
2017,May,92.86509523809524,79.31818181818181,90.74193548387096,14309372727272.727,100.147,2411.8
2017,November,118.33004761904762,109.04761904761905,115.69999999999999,14860861904761.904,101.273,2647.58
2017,October,118.34895238095238,104.76190476190476,115.38709677419354,14728885714285.715,100.988,2575.26
2017,September,117.84445,104.05,115.33333333333331,14585940000000,99.7485,2519.36
2018,April,170.2751,174.2,169.23333333333332,15396090476190.477,103.4095,2648.05
2018,August,191.6485,191.7391304347826,191.48387096774192,15676543478260.87,104.1659,2901.52
2018,December,224.66015789473684,235.05263157894737,227.4193548387097,16059555000000,103.867,2506.85
2018,February,144.32573684210527,132.73684210526315,141.75,14988784210526.316,101.6495,2713.83
2018,January,143.78880952380953,134.66666666666666,141.4516129032258,14816328571428.572,101.3561,2823.81
2018,July,191.84671428571428,191.38095238095238,191,15515195238095.238,103.5474,2816.29
2018,June,183.76333333333332,183.66666666666666,181.96666666666667,15437552380952.38,103.3045,2718.37
2018,March,151.8304761904762,152.52380952380952,150.61290322580646,15320895454545.455,102.298,2640.87
2018,May,170.65971428571427,173.04545454545453,170,15361300000000,102.5408,2705.27
2018,November,217.78895,222.05,219.76666666666668,15926830000000,103.9127,2760.17
2018,October,217.29904545454545,218.40909090909093,218.77419354838713,15801759090909.092,103.9874,2711.74
2018,September,194.48915789473685,196.8421052631579,195.46666666666667,15766436842105.264,104.1315,2913.98
2019,April,239.10025,247.61904761904762,242.36666666666667,16198352380952.38,102.2543,2945.83
2019,August,209.66990476190477,212.8181818181818,212.58064516129033,16482622727272.727,102.6882,2926.46
2019,December,153.3653,154.61904761904762,155.09677419354838,17124066666666.666,101.6179,3230.78
2019,February,238.4094210526316,240.42105263157896,240,16163778947368.422,102.728,2784.49
2019,January,238.69909523809525,247.23809523809524,240,16090657142857.143,103.3023,2704.1
2019,July,235.48663636363636,244.95454545454547,240.29032258064515,16212913636363.637,102.0568,2980.38
2019,June,235.02145000000002,239.3,237.76666666666668,16181245000000,102.384,2941.76
2019,March,238.90033333333332,241.71428571428572,240.51612903225808,16214480952380.953,102.8635,2834.4
2019,May,235.9092380952381,242.04545454545456,239.09677419354838,16187790909090.908,102.4519,2752.06
2019,November,154.12463157894737,157.26315789473685,155.33333333333334,17031989473684.21,101.9876,3140.98
2019,October,180.198,186.4090909090909,182.96774193548387,16871418181818.182,101.4645,3037.56
2019,September,200.64645,227.15,204.3,16713795000000,102.3143,2976.74
