year,month,SOFR,LIBOR,FFR
2014,August,4.8,9.138,8.6
2014,September,4.285714285714286,9.030952380952382,8.857142857142858
2014,October,7.090909090909091,9.06,8.863636363636363
2014,November,8,9.641111111111112,9.5
2014,December,11,11.01,12.095238095238095
2015,January,7.55,11.8645,11.65
2015,February,7.7894736842105265,11.786842105263158,11.368421052631579
2015,March,10.272727272727273,12.135,11.363636363636363
2015,April,12.2,12.2,12.45
2015,May,8.368421052631579,12.31578947368421,12.421052631578947
2015,June,10.409090909090908,12.293636363636363,12.863636363636363
2015,July,13.363636363636363,12.633636363636365,13.045454545454545
2015,August,17.55,13.01,14.5
2015,September,13.047619047619047,13.439047619047619,13.523809523809524
2015,October,10.571428571428571,13.158571428571427,12.428571428571429
2015,November,9.157894736842104,13.06578947368421,11.894736842105264
2015,December,23.857142857142858,22.862380952380953,22.571428571428573
2016,January,38.526315789473685,36.607894736842105,36.26315789473684
2016,February,38.55,37.1495,37.4
2016,March,35,37.39333333333333,36.04761904761905
2016,April,33.80952380952381,38.03142857142857,36.666666666666664
2016,May,32.25,38.525999999999996,36.6
2016,June,42.81818181818182,39.044090909090905,37.68181818181818
2016,July,37.95,41.419,39.55
2016,August,38.40909090909091,41.81704545454546,39.54545454545455
2016,September,44.714285714285715,42.164857142857144,39.476190476190474
2016,October,38.85,43.09825,40.25
2016,November,31.45,43.39895,40.5
2016,December,38.2,56.06285,52.95
2017,January,53.55,69.0799,65.5
2017,February,52.421052631578945,68.63742105263158,65.52631578947368
2017,March,64.26086956521739,80.95565217391305,78.65217391304348
2017,April,80.66666666666667,92.89655555555555,90.55555555555556
2017,May,79.14285714285714,92.86509523809524,90.61904761904762
2017,June,98.86363636363636,106.4090909090909,104.18181818181819
2017,July,103.2,117.6944,115.55
2017,August,104.5909090909091,117.75518181818182,115.5909090909091
2017,September,104.05,117.84445,115.5
2017,October,104.76190476190476,118.34895238095238,115.57142857142857
2017,November,109.04761904761905,118.33004761904762,115.57142857142857
2017,December,121.47368421052632,131.44094736842104,129.21052631578948
2018,January,134.66666666666666,143.78880952380953,141.61904761904762
2018,February,132.73684210526315,144.32573684210527,141.6315789473684
2018,March,152.52380952380952,151.8304761904762,149.76190476190476
2018,April,174.2,170.27509999999998,169.3
2018,May,173.14285714285714,170.65971428571427,170
2018,June,183.66666666666666,183.76333333333332,182.0952380952381
2018,July,191.38095238095238,191.84671428571428,191
2018,August,191.5909090909091,191.6485,191.45454545454547
2018,September,196.8421052631579,194.48915789473685,194.89473684210526
2018,October,218.4090909090909,217.29904545454545,218.8181818181818
2018,November,222.05,217.78895,219.9
2018,December,234.55555555555554,225.07527777777779,226.33333333333334
2019,January,247.23809523809524,238.69909523809523,240
2019,February,240.42105263157896,238.4094210526316,240
2019,March,241.71428571428572,238.90033333333332,240.38095238095238
2019,April,247.73684210526315,239.1258947368421,242.21052631578948
2019,May,242.04761904761904,235.9092380952381,239.23809523809524
2019,June,239.3,235.02145000000002,237.55
2019,July,244.95454545454547,235.48663636363636,240.27272727272728
2019,August,212.95238095238096,209.66990476190477,212.52380952380952
2019,September,227.15,200.64645,205.25
2019,October,186.4090909090909,180.198,183
2019,November,157.26315789473685,154.12463157894737,155.26315789473685
2019,December,154.75,153.3653,155.1
